x
257,5756398
233,0028104
220,8290375
290,7778704
257,5921398
268,5548346
296,8474819
265,2236799
229,7734606
209,3562704
237,7830826
265,1268723
218,2601399
223,199746
209,3058045
251,3931997
222,7999294
227,3313001
243,1619119
249,2208081
229,7477909
263,4370141
280,0681122
260,9598921
219,079193
240,5231876
259,4710893
193,6879747
274,3251391
261,7082936
262,3700327
215,2253514
177,7446225
242,7539468
219,806723
217,8352114
218,3483332
202,1295749
213,2435241
248,069255
220,1583783
272,0015007
273,7906173
231,6335949
233,5690282
233,5060861
280,1730692
221,6836658
241,6925745
221,0541322
226,5817042
234,9796883
235,0383668
223,1392507
248,2074844
258,1352814
237,4328256
208,5315364
246,7053623
254,5220943
223,9434635
191,3133234
225,8424268
205,8296525
266,9802233
212,4104766
257,9006322
248,5533303
250,5668661
233,4814638
244,9226763
249,0640388
254,4960171
228,6704527
258,2651565
247,1410886
274,8763872
240,3217134
241,8223175
220,7609357
223,213593
251,8906596
258,2560146
260,9758691
212,0142201
245,0552724
227,7014613
220,4286944
238,4760802
228,3454331
196,1689584
218,8004731
226,8810716
235,0572575
225,3215725
277,1513683
272,8648408
284,0613886
224,007386
218,1044314
